evidence_id,source_type,local_relative_path,sha256,captured_at_utc,sanitized_summary,ip_privacy_review,status
EV-0074,ui_dump,.reference-local/ui-dumps/EV-0074.xml,c2cf56b895363a7579def1c7bc5d28609a12cab1b9b2175f1f5287827f6dcdbe,2026-07-18T18:24:54.4427039Z,"raw UI dump capture",pass,captured
EV-0075,screenshot,.reference-local/screenshots/EV-0075.png,8f2be3e4613d5e85a37fb1eff9a07b7e3d4e42a485bab37f5281561c78443779,2026-07-18T18:25:44.8966452Z,"raw screenshot capture",pass,captured
EV-0076,ui_dump,.reference-local/ui-dumps/EV-0076.xml,c2cf56b895363a7579def1c7bc5d28609a12cab1b9b2175f1f5287827f6dcdbe,2026-07-18T18:25:47.2866509Z,"raw UI dump capture",pass,captured
EV-0077,screenshot,.reference-local/screenshots/EV-0077.png,117794ca50c0295bcee4edae864835155add28b536d34828c5307496f36ca6df,2026-07-18T18:25:50.0774635Z,"raw screenshot capture",pass,captured
EV-0078,ui_dump,.reference-local/ui-dumps/EV-0078.xml,c2cf56b895363a7579def1c7bc5d28609a12cab1b9b2175f1f5287827f6dcdbe,2026-07-18T18:25:52.5431024Z,"raw UI dump capture",pass,captured
EV-0079,screenshot,.reference-local/screenshots/EV-0079.png,0c439ed8a46d8bd6778fc09b7bbb0687ddee84b8014346062c6614f08dacbcf0,2026-07-18T18:26:22.0835262Z,"raw screenshot capture",pass,captured
EV-0080,ui_dump,.reference-local/ui-dumps/EV-0080.xml,c2cf56b895363a7579def1c7bc5d28609a12cab1b9b2175f1f5287827f6dcdbe,2026-07-18T18:26:24.4731484Z,"raw UI dump capture",pass,captured
EV-0081,screenshot,.reference-local/screenshots/EV-0081.png,3009e6cda7b95b2c6e06cddf4a5e6450c5b78f1a1f67ad171f6946c13dcabe34,2026-07-18T18:26:27.5449835Z,"raw screenshot capture",pass,captured
EV-0082,ui_dump,.reference-local/ui-dumps/EV-0082.xml,c2cf56b895363a7579def1c7bc5d28609a12cab1b9b2175f1f5287827f6dcdbe,2026-07-18T18:26:30.0313559Z,"raw UI dump capture",pass,captured
EV-0083,screenshot,.reference-local/screenshots/EV-0083.png,d8744cc7e03e06666dfc44a348e426437aec5af26c4e5cd065ae63fa95dd146e,2026-07-18T18:26:55.9894682Z,"raw screenshot capture",pass,captured
